title,movieInfo,star,quote
肖申克的救赎 / TheShawshankRedemption / 月黑高飞(港)/刺激1995(台),导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...;1994 / 美国 / 犯罪剧情;;,9.6,希望让人自由。
霸王别姬 / 再见，我的妾/FarewellMyConcubine,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...;1993 / 中国大陆香港 / 剧情爱情同性;;,9.6,风华绝代。
这个杀手不太冷 / Léon / 杀手莱昂/终极追杀令(台),导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...;1994 / 法国 / 剧情动作犯罪;;,9.4,怪蜀黍和小萝莉不得不说的故事。
阿甘正传 / ForrestGump / 福雷斯特·冈普,导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise;1994 / 美国 / 剧情爱情;;,9.4,一部美国近现代史。
美丽人生 / Lavitaèbella / 一个快乐的传说(港)/LifeIsBeautiful,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...;1997 / 意大利 / 剧情喜剧爱情战争;;,9.5,最美的谎言。
泰坦尼克号 / Titanic / 铁达尼号(港/台),导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...;1997 / 美国 / 剧情爱情灾难;;,9.3,失去的才是永恒的。 
千与千寻 / 千と千尋の神隠し / 神隐少女(台)/SpiritedAway,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...;2001 / 日本 / 剧情动画奇幻;;,9.3,最好的宫崎骏，最好的久石让。 
辛德勒的名单 / Schindler'sList / 舒特拉的名单(港)/辛德勒名单,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...;1993 / 美国 / 剧情历史战争;;,9.5,拯救一个人，就是拯救整个世界。
盗梦空间 / Inception / 潜行凶间(港)/全面启动(台),导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...;2010 / 美国英国 / 剧情科幻悬疑冒险;;,9.3,诺兰给了我们一场无法盗取的梦。
机器人总动员 / WALL·E / 瓦力(台)/太空奇兵·威E(港),导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...;2008 / 美国 / 爱情科幻动画冒险;;,9.3,小瓦力，大人生。
